WAR
8.3
8.2
7.4
7.4
6.9
6.5
6.2
6.0
6.0
5.9
5.8
5.5
5.5
5.5
5.4
5.4
5.3
5.3
5.2
5.1
5.1
5.1
5.0
4.9
4.9
4.9
4.9
4.8
4.7
4.6
4.5
4.4
4.4
4.4
4.4
4.3
4.3
4.3
4.3
4.2
4.2
4.1
4.0
3.9
3.9
3.9
3.9
3.8
3.8
3.8
