Rk,Name,Age,PA,Tm,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB,Name-additional
498,Kevin Padlo,26,8,LAA,-1.1,-0.1,8,-0.1,0.1,-0.3,1.23,-0.1,0,-0.10%,0.10%,-0.20%,1.48,0.00%,-2,-0.2,1.24,-1.5,,0,padloke01
499,Joshua Palacios*,27,264,PIT,-6,-0.6,274,-0.3,4.9,-5.2,1.05,-0.9,0.7,-0.40%,0.90%,-1.40%,0.45,-0.40%,-4.1,-0.4,0.99,-8.5,1.97,22,palacjo01
500,Richie Palacios*,26,102,STL,2.3,0.2,104,0.3,1.9,-1.5,0.92,0.6,-0.3,0.00%,0.00%,0.00%,0,-1.00%,6,0.6,0.95,7.1,1.35,4,palacri01
501,Isaac Paredes,24,571,TBR,22.3,2.2,580,1.1,11.1,-9.9,0.98,2.9,-1.8,0.50%,6.80%,-6.30%,1.01,-1.40%,24.9,2.5,1,25,2.82,4,paredis01
502,Kyren Paris,21,46,LAA,-6.5,-0.7,52,0,0.8,-0.8,1.13,-0.3,0.4,0.00%,0.00%,0.00%,0,0.00%,-2.6,-0.3,0.85,-4.2,0.04,1,parisky01
503,Vinnie Pasquantino*,25,260,KCR,2.8,0.3,260,0,4.3,-4.4,0.96,-0.2,0.1,0.10%,1.00%,-0.80%,0.33,0.60%,-0.9,-0.1,0.88,-1.8,2.09,1,pasquvi01
504,Joc Pederson*,31,425,SFG,7.3,0.7,430,1.7,9,-7.3,1.06,0.3,1.3,1.10%,6.00%,-4.90%,1.18,0.60%,4.9,0.5,0.93,3.6,1.32,17,pederjo01
505,Liover Peguero,22,213,PIT,-7.2,-0.7,224,-0.6,3.3,-3.9,0.97,-0.9,0.3,0.00%,0.10%,-0.10%,0.03,0.10%,-7.5,-0.7,0.99,-9.7,,0,pegueli01
506,Jeremy Peña,25,634,HOU,-4.2,-0.4,662,-3.3,8.1,-11.4,0.95,-0.7,-2.7,-2.50%,8.40%,-10.90%,1.56,-1.20%,-5.3,-0.5,0.92,-7.6,,0,penaje02
507,David Peralta*,35,422,LAD,-10.7,-1,430,0.1,7.6,-7.4,0.97,-0.8,0.9,0.30%,4.60%,-4.30%,0.94,0.70%,-9.2,-0.9,0.97,-9.1,1.29,22,peralda01
508,Oswald Peraza,23,191,NYY,-12.3,-1.2,202,-0.9,2.7,-3.6,1.04,-1.2,0.4,0.00%,0.60%,-0.60%,0.36,0.50%,-12.3,-1.2,0.98,-13.5,0.56,1,perazos02
509,Geraldo Perdomo#,23,495,ARI,0.5,0,526,-0.1,8.5,-8.5,1.03,-0.3,0.3,-0.30%,6.20%,-6.50%,1.3,-0.10%,-0.8,-0.1,0.97,-5,1.1,9,perdoge01
510,Everson Pereira,22,103,NYY,-10.4,-1,106,-0.5,1.3,-1.7,0.92,-0.9,0.3,0.00%,0.00%,0.00%,0.02,-0.20%,-6.1,-0.6,0.92,-9.6,,0,pereiev01
511,Carlos Pérez,32,189,OAK,-2.9,-0.3,189,0.1,3.4,-3.3,1.08,-0.2,0.3,0.10%,0.30%,-0.20%,0.12,0.80%,-3.8,-0.4,0.92,-2.1,1.56,16,perezca02
512,Carlos Pérez,26,53,CHW,-2.4,-0.2,53,-0.1,1.1,-1.2,1.38,-0.3,0.3,0.00%,0.10%,-0.10%,0.13,0.40%,-2.6,-0.3,1.05,-3.4,2.54,9,perezca03
513,Michael Pérez*,30,8,NYM,1.2,0.1,8,0.1,0.2,-0.1,1.2,0.1,0,0.10%,0.10%,0.00%,0.95,0.10%,0.7,0.1,0.81,0.9,,0,perezmi03
514,Roberto Pérez,34,17,SFG,-1.9,-0.2,17,-0.1,0.2,-0.3,0.89,-0.1,0,-0.10%,0.10%,-0.20%,0.8,0.00%,-1.4,-0.1,0.92,-1.9,,0,perezro02
515,Salvador Perez,33,580,KCR,-5.7,-0.6,583,-1.1,9.7,-10.7,1,0.1,-1.2,0.20%,1.00%,-0.80%,0.14,0.60%,-7.7,-0.8,0.91,-5.7,,0,perezsa02
516,Blake Perkins#,26,168,MIL,-2.3,-0.2,182,-0.3,3.2,-3.5,1.13,-0.5,0.2,-0.20%,2.10%,-2.30%,1.3,0.10%,-6.3,-0.6,1,-5.7,0.47,4,perkibl01
517,Jace Peterson*,33,430,TOT,-11.8,-1.2,456,-2.9,6.1,-9,1.12,-1.6,-1,-1.10%,1.30%,-2.40%,0.48,-1.50%,-13.3,-1.3,0.94,-18.5,1.81,19,peterja01
518,Jace Peterson*,33,324,OAK,-4.9,-0.5,345,-1.7,4.8,-6.6,1.1,-1.1,-0.5,-0.20%,0.40%,-0.70%,0.17,-0.80%,-6.2,-0.6,0.92,-10.8,1.64,10,peterja01
519,Jace Peterson*,33,106,ARI,-6.9,-0.7,111,-1.2,1.2,-2.4,1.19,-0.5,-0.5,-0.90%,0.90%,-1.80%,1.42,-0.30%,-7.1,-0.7,0.98,-7.7,2,9,peterja01
520,Tommy Pham,35,481,TOT,7,0.7,511,0.9,9.5,-8.6,1.03,0.6,0.2,0.50%,5.40%,-4.90%,1,0.10%,11.5,1.1,0.95,6.7,1.02,6,phamth01
521,Tommy Pham,35,264,NYM,8.5,0.8,278,0.3,4.5,-4.2,0.95,0.8,-0.5,0.10%,2.00%,-1.90%,0.72,-0.40%,11,1.1,0.91,9.1,1.02,6,phamth01
522,Tommy Pham,35,217,ARI,-1.4,-0.1,233,0.6,5,-4.4,1.13,-0.2,0.7,0.40%,3.40%,-3.00%,1.35,0.40%,0.5,0.1,0.99,-2.5,,0,phamth01
523,Brett Phillips*,29,71,LAA,-3.5,-0.4,77,0.3,1.6,-1.4,1.08,-0.2,0.4,0.10%,0.20%,-0.10%,0.26,0.30%,-3.3,-0.3,0.96,-2.5,,0,phillbr02
524,Kevin Pillar,34,206,ATL,-7.9,-0.8,214,0.5,4.1,-3.6,0.94,-0.7,1.3,0.60%,1.90%,-1.30%,0.62,1.30%,-2.6,-0.2,0.91,-7.7,1.21,29,pillake01
525,Manny Piña,36,12,OAK,0,0,12,-0.2,0.1,-0.3,0.88,-0.1,-0.1,0.00%,0.00%,0.00%,0,,-1.1,-0.1,0.91,-0.8,,0,pinama01
