WPA
4.9
6.8
1.0
4.4
4.4
4.3
1.3
4.2
1.4
1.9
0.9
3.5
-0.1
1.4
4.6
5.2
2.2
-0.6
4.4
3.3
2.7
0.9
2.7
0.7
2.3
1.6
1.2
-1.7
2.1
4.7
3.0
-1.1
2.3
-0.2
-1.2
2.2
1.3
2.8
0.3
1.1
1.1
0.2
-0.1
1.3
-2.2
0.1
-0.3
-3.3
1.8
3.9
